component,date,value,title,vintage_date,units,freq,seas_adj,updated
CUSR0000SETG01,01-01-90,134.8,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-02-90,138.2,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-03-90,141,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-04-90,144.1,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-05-90,145.9,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-06-90,147.9,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-07-90,148.8,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-08-90,149.9,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-09-90,152.8,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-10-90,156.6,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-11-90,159.3,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-12-90,162.8,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-01-91,163.2,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-02-91,164.5,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-03-91,159.4,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-04-91,151.9,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-05-91,151.6,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-06-91,153.9,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-07-91,153.8,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-08-91,155.8,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-09-91,153.3,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-10-91,150.2,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-11-91,150.6,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-12-91,153.1,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-01-92,156,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-02-92,154.7,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-03-92,158.8,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-04-92,160.7,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-05-92,155.5,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-06-92,145.4,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-07-92,150.1,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-08-92,147.8,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
CUSR0000SETG01,01-09-92,146.1,Consumer Price Index for All Urban Consumers: Airline Fares in U.S. City Average,Current,Index 1982-1984=100,M,SA,14-09-21
