fips,series_complete_pop_pct,date
49055,36.6,07/04/2021
26027,33.1,07/04/2021
28155,31.5,07/04/2021
26033,58.2,07/04/2021
48027,0,07/04/2021
22107,38.3,07/04/2021
27157,57.2,07/04/2021
37159,30,07/04/2021
30069,25.7,07/04/2021
53019,43.3,07/04/2021
37143,18.8,07/04/2021
40119,35,07/04/2021
26047,60.7,07/04/2021
13287,10.8,07/04/2021
39173,50.1,07/04/2021
54097,6.7,07/04/2021
39037,30.3,07/04/2021
50025,53.6,07/04/2021
39107,30.7,07/04/2021
35047,36,07/04/2021
40151,29.4,07/04/2021
37063,52,07/04/2021
56001,41.8,07/04/2021
18029,39.9,07/04/2021
29153,19.4,07/04/2021
31089,32,07/04/2021
30027,35.9,07/04/2021
49015,26.4,07/04/2021
48183,0,07/04/2021
01133,14.2,07/04/2021
56019,32.1,07/04/2021
28119,30.6,07/04/2021
47119,44.5,07/04/2021
37157,34.8,07/04/2021
55105,52.9,07/04/2021
55015,43.4,07/04/2021
13295,15.5,07/04/2021
02275,48.4,07/04/2021
72089,42.6,07/04/2021
46107,40.4,07/04/2021
17147,41.5,07/04/2021
20013,43.6,07/04/2021
13021,16.2,07/04/2021
23021,48.9,07/04/2021
42129,45.5,07/04/2021
48223,0,07/04/2021
16033,27.5,07/04/2021
29069,21.6,07/04/2021
06085,66.5,07/04/2021
40111,29,07/04/2021
19195,41.1,07/04/2021
37187,31.6,07/04/2021
21053,26,07/04/2021
41005,54.1,07/04/2021
19027,50.8,07/04/2021
40061,28.1,07/04/2021
38057,30,07/04/2021
45041,37.9,07/04/2021
09001,62.1,07/04/2021
13225,6.6,07/04/2021
18123,44,07/04/2021
20169,35.3,07/04/2021
13315,6.5,07/04/2021
17167,47.9,07/04/2021
55051,48.8,07/04/2021
48407,0,07/04/2021
45045,39.4,07/04/2021
20199,27.7,07/04/2021
22041,24,07/04/2021
72085,51.4,07/04/2021
72077,50.6,07/04/2021
29211,29.9,07/04/2021
72123,54.8,07/04/2021
48251,0,07/04/2021
37173,39.9,07/04/2021
48105,0,07/04/2021
20141,32,07/04/2021
01101,33.5,07/04/2021
41029,43.2,07/04/2021
01067,29.5,07/04/2021
12043,22.6,07/04/2021
08021,26.3,07/04/2021
13183,3.1,07/04/2021
20157,40.5,07/04/2021
18091,45,07/04/2021
31085,15.9,07/04/2021
45061,28.4,07/04/2021
27037,53.1,07/04/2021
51013,35.5,07/04/2021
78020,0,07/04/2021
19073,46.4,07/04/2021
40047,32.5,07/04/2021
35037,25.8,07/04/2021
51131,44.8,07/04/2021
48023,0,07/04/2021
51149,18.2,07/04/2021
22077,36.4,07/04/2021
20185,33.3,07/04/2021
41053,49,07/04/2021
38053,14.4,07/04/2021
06055,59.7,07/04/2021
12035,47.3,07/04/2021
17139,30.4,07/04/2021
29091,18.2,07/04/2021
21225,27.2,07/04/2021
26029,54.3,07/04/2021
48021,0,07/04/2021
48319,0,07/04/2021
42085,41.6,07/04/2021
34015,46.4,07/04/2021
01123,26.9,07/04/2021
08125,19.1,07/04/2021
30065,26.6,07/04/2021
16025,30.4,07/04/2021
47057,35.9,07/04/2021
17099,38.8,07/04/2021
12055,36.5,07/04/2021
04025,34.9,07/04/2021
17159,33.5,07/04/2021
08067,44.9,07/04/2021
12129,30.5,07/04/2021
30053,26.9,07/04/2021
31051,33.6,07/04/2021
12047,24.9,07/04/2021
08025,10.4,07/04/2021
05123,30.4,07/04/2021
19185,33.1,07/04/2021
46103,32.8,07/04/2021
12031,39.9,07/04/2021
40041,24.8,07/04/2021
18175,31.2,07/04/2021
39041,59.2,07/04/2021
30107,27.4,07/04/2021
48503,0,07/04/2021
53075,36.4,07/04/2021
01107,30.2,07/04/2021
37093,20.9,07/04/2021
72033,47.2,07/04/2021
05055,27.5,07/04/2021
26003,53.2,07/04/2021
72035,61.9,07/04/2021
31031,26,07/04/2021
54013,11.5,07/04/2021
32011,19.8,07/04/2021
05115,32.3,07/04/2021
17199,35.8,07/04/2021
21015,49.8,07/04/2021
06065,39.7,07/04/2021
41001,59.3,07/04/2021
19067,42.1,07/04/2021
21185,46.1,07/04/2021
47135,27.2,07/04/2021
08091,40.6,07/04/2021
50015,50.4,07/04/2021
56003,26,07/04/2021
08061,12.3,07/04/2021
04005,55.4,07/04/2021
39077,35.5,07/04/2021
27093,36.9,07/04/2021
29105,23.7,07/04/2021
31177,43,07/04/2021
27075,54.1,07/04/2021
48045,0,07/04/2021
37145,40.1,07/04/2021
01113,24.2,07/04/2021
02164,48,07/04/2021
48307,0,07/04/2021
51173,24.6,07/04/2021
05125,32.9,07/04/2021
51595,0.9,07/04/2021
06109,41.9,07/04/2021
17163,40.9,07/04/2021
21091,43.9,07/04/2021
28107,28.4,07/04/2021
20051,36.3,07/04/2021
31083,31.7,07/04/2021
02240,23,07/04/2021
31149,27.1,07/04/2021
19013,46.9,07/04/2021
